createdTime,updatedTime,symbol,category,Position_Direction,avgEntryPrice,avgExitPrice,closedSize,closedPnl,leverage,orderId,execType,orderType,side,qty,cumEntryValue,orderPrice,fillCount,cumExitValue,Strategy,Emotions,Lessons_Learned
2025-04-24 15:10:26.776,2025-04-24 15:10:26.780,XLMUSD,linear,Short,0.27646,0.27820001,174.0,-4.62664856,10,dd2f12f4-74e1-4927-b0c0-d6c90686e1d2,Trade,Market,Buy,174,629.38580626,0.29197,2,625.44931703,,,
2025-04-24 14:43:00.026,2025-04-24 14:43:00.028,DOTUSDT,linear,Long,4.0616,4.0832,3.2,0.05478514,20,6cc514e2-2442-4d51-8b16-8347852b8335,Trade,Market,Sell,3.2,12.99712,3.8795,1,13.06624,,,
2025-04-24 14:42:38.086,2025-04-24 14:42:38.088,POPCATUSDT,linear,Long,0.3468,0.356,15.0,0.1322019,20,c4b72176-3bb8-452b-8403-811fdacd9c7d,Trade,Market,Sell,15,5.202,0.3295,1,5.34,,,
2025-04-24 14:03:10.552,2025-04-24 14:03:10.554,POPCATUSDT,linear,Short,0.3417,0.3452,20.0,-0.07755591,20,ce75bef2-a30a-400a-a09d-f5b5b6ca2012,Trade,Market,Buy,20,6.834,0.3587,1,6.904,,,
2025-04-24 13:40:19.761,2025-04-24 13:40:19.762,POPCATUSDT,linear,Short,0.3455,0.3445,7.0,0.00434349,20,7e4d6f98-1447-45c3-ab0b-8f34d28c5347,Trade,Market,Buy,7,2.4185,0.3627,1,2.4115,,,
2025-04-24 13:15:41.991,2025-04-24 13:15:41.993,BCHUSDT,linear,Short,347.8,346.9,0.02,0.0103583,20,970fdb64-6ecf-4f16-a776-a030d76f4f0d,Trade,Market,Buy,0.02,6.956,364.3,1,6.938,,,
2025-04-24 13:15:41.991,2025-04-24 13:15:41.992,POPCATUSDT,linear,Short,0.3342,0.3421,28.0,-0.23113958,20,3f945dc2-c70b-4f4f-bc2d-71bb08c76e0e,Trade,Market,Buy,28,9.3576,0.3509,1,9.5788,,,
2025-04-24 12:03:26.770,2025-04-24 12:03:26.771,BCHUSDT,linear,Long,352.4,347.9,0.03,-0.14655495,20,a262655e-a396-4064-a0d2-7829e803e665,Trade,Market,Sell,0.03,10.572,334.8,1,10.437,,,
2025-04-24 11:09:17.173,2025-04-24 11:09:17.175,BCHUSDT,linear,Short,359.7,352.1,0.01,0.0720851,20,86b13dc6-699f-44ea-925f-c1ca2d490403,Trade,Market,Buy,0.01,3.597,369.6,1,3.521,,,
2025-04-24 10:40:14.329,2025-04-24 10:40:14.331,POPCATUSDT,linear,Long,0.3339,0.3339,61.0,-0.0224047,20,af028451-1abd-46a1-810b-162fed518790,Trade,Market,Sell,61,20.3679,0.3173,2,20.3679,,,
2025-04-24 10:39:41.182,2025-04-24 10:39:41.183,POPCATUSDT,linear,Short,0.3324,0.3336,28.0,-0.0438564,20,143116aa-7bf0-4be9-9b4f-586610564d91,Trade,Market,Buy,28,9.3072,0.349,1,9.3408,,,
2025-04-24 10:28:03.640,2025-04-24 10:28:03.642,POPCATUSDT,linear,Long,0.3324,0.3325,77.0,-0.02045852,20,f29a36b0-99c2-4ccb-8703-911bc9690f8b,Trade,Market,Sell,77,25.5948,0.3158,1,25.6025,,,
2025-04-24 10:27:48.314,2025-04-24 10:27:48.316,POPCATUSDT,linear,Long,0.3323,0.3321,72.0,-0.04071025,20,d1000165-25ac-4533-89f5-a2895b7e75f5,Trade,Market,Sell,72,23.9256,0.3157,2,23.9112,,,
2025-04-24 10:26:48.404,2025-04-24 10:26:48.406,POPCATUSDT,linear,Long,0.3323,0.3322,73.0,-0.03397969,20,a0d9db52-d910-4c57-af36-da5b87f0de1e,Trade,Market,Sell,73,24.2579,0.3157,1,24.2506,,,
2025-04-24 10:26:18.320,2025-04-24 10:26:18.322,POPCATUSDT,linear,Long,0.3325,0.3322,76.0,-0.05058446,20,26890edf-c333-45ef-af75-1e2e4a39c947,Trade,Market,Sell,76,25.27,0.3159,2,25.2472,,,
2025-04-24 10:25:48.287,2025-04-24 10:25:48.289,POPCATUSDT,linear,Long,0.3321,0.3322,84.0,-0.02229066,20,24ebfb02-e173-4a3a-9763-4f7b21f7d0e1,Trade,Market,Sell,84,27.8964,0.3155,1,27.9048,,,
2025-04-24 10:25:19.671,2025-04-24 10:25:19.673,POPCATUSDT,linear,Long,0.3315,0.3324,82.0,0.04385811,20,521c5078-9f0e-473c-8fad-71f1733a920d,Trade,Market,Sell,82,27.183,0.315,1,27.2568,,,
2025-04-24 10:24:49.659,2025-04-24 10:24:49.660,POPCATUSDT,linear,Short,0.332,0.3323,29.0,-0.01929559,20,9e6db2ce-0058-42e6-ad57-63bb871ad2c5,Trade,Market,Buy,29,9.628,0.3486,1,9.6367,,,
